,East England,East Midlands,London,"North Wales, Merseyside and Cheshire",West Midlands,North East England,North West England,North Scotland,South East England,South Wales,South West England,Yorkshire,South and Central Scotland,Southern England
2025-01-01 00:00:00,21.790569305419922,22.408733367919922,20.229045867919922,28.179241180419922,21.928264617919922,18.558147430419922,18.694866180419922,23.394084930419922,22.347209930419922,23.442913055419922,20.486858367919922,21.567913055419922,20.033733367919922,20.811077117919922
2025-01-01 01:00:00,21.978303909301758,22.712678909301758,20.181428909301758,28.451936721801758,21.692171096801758,18.090608596801758,23.522249221801758,23.335725784301758,22.374788284301758,23.245882034301758,20.948030471801758,22.240022659301758,19.907014846801758,21.140413284301758
2025-01-01 02:00:00,22.127405166625977,26.467248916625977,19.950647354125977,26.727991104125977,21.581506729125977,17.827600479125977,25.434045791625977,22.613733291625977,22.144006729125977,23.651819229125977,21.429162979125977,22.724084854125977,19.141077041625977,21.442834854125977
2025-01-01 03:00:00,22.102224349975586,22.977224349975586,19.935232162475586,26.342458724975586,22.049489974975586,17.006521224975586,19.739919662475586,22.535818099975586,21.965505599975586,24.385427474975586,21.887380599975586,22.745779037475586,19.057302474975586,21.730154037475586
2025-01-01 04:00:00,21.453868865966797,22.574962615966797,20.183361053466797,25.779064178466797,22.900157928466797,16.528087615966797,21.873790740966797,22.356212615966797,22.116954803466797,26.324962615966797,22.396251678466797,22.924571990966797,19.617931365966797,22.530040740966797
2025-01-01 05:00:00,21.28388214111328,23.17743682861328,20.66083526611328,24.53681182861328,24.12763214111328,16.92548370361328,20.72138214111328,21.48017120361328,22.65888214111328,26.86396026611328,22.85614776611328,23.06903839111328,18.10810089111328,23.32294464111328
2025-01-01 06:00:00,21.91557502746582,23.76616096496582,21.09623908996582,22.84330940246582,24.41655158996582,17.00248908996582,15.60209846496582,21.59721565246582,23.10014533996582,25.77690315246582,23.13823127746582,22.29643440246582,18.89702033996582,24.07963752746582
2025-01-01 07:00:00,22.93470573425293,23.85560417175293,22.11146354675293,20.43958854675293,24.23158073425293,14.95326042175293,19.92689323425293,21.83411979675293,23.80384635925293,25.72669792175293,22.90833854675293,23.24036979675293,19.36048698425293,23.87806510925293
2025-01-01 08:00:00,23.829057693481445,24.306596755981445,22.366167068481445,14.809526443481445,23.047807693481445,15.925737380981445,18.010698318481445,20.664018630981445,24.268510818481445,24.320268630981445,23.313432693481445,22.498003005981445,18.796831130981445,24.477495193481445
2025-01-01 09:00:00,23.89561653137207,22.96592903137207,22.48643684387207,15.268664360046387,22.13682746887207,16.93272590637207,17.79014778137207,21.26866340637207,25.02647590637207,21.10264778137207,24.11729621887207,16.17003059387207,18.07530403137207,25.01475715637207
2025-01-01 10:00:00,23.672182083129883,22.910463333129883,22.530580520629883,15.579408645629883,21.402650833129883,17.349916458129883,18.099916458129883,21.123353958129883,25.338197708129883,15.247377395629883,24.849916458129883,17.224916458129883,17.752260208129883,25.325502395629883
2025-01-01 11:00:00,23.55658721923828,21.36322784423828,22.55170440673828,15.831002235412598,17.63959503173828,17.16107940673828,17.67865753173828,20.08197784423828,25.47260284423828,13.730416297912598,24.99701690673828,17.49506378173828,19.12494659423828,26.03314971923828
2025-01-01 12:00:00,23.23966407775879,16.74454689025879,22.28360939025879,16.54142189025879,13.640054702758789,16.63224220275879,18.18400001525879,19.70450782775879,25.59806251525879,13.578531265258789,21.91935157775879,18.31290626525879,19.08927345275879,27.08927345275879
2025-01-01 13:00:00,22.62168312072754,16.32090187072754,21.66953468322754,16.86582374572754,13.474223136901855,18.02793312072754,18.47519874572754,19.63926124572754,26.02109718322754,13.968363761901855,15.063090324401855,18.42441749572754,18.28867530822754,27.06308937072754
2025-01-01 14:00:00,19.761898040771484,16.044124603271484,16.267757415771484,15.755061149597168,13.030451774597168,17.236507415771484,17.361507415771484,19.350765228271484,26.241390228271484,13.564631462097168,12.414240837097168,18.362483978271484,16.553890228271484,22.841976165771484
2025-01-01 15:00:00,14.504223823547363,15.289380073547363,12.539380073547363,15.550122261047363,13.054028511047363,16.492504119873047,15.928051948547363,19.484691619873047,26.101879119873047,12.791333198547363,12.016919136047363,16.648754119873047,14.915356636047363,13.813794136047363
