,East England,East Midlands,London,"North Wales, Merseyside and Cheshire",West Midlands,North East England,North West England,North Scotland,South East England,South Wales,South West England,Yorkshire,South and Central Scotland,Southern England
2024-11-01 00:00:00,6.70134973526001,7.08416223526001,2.2794747352600098,6.94060754776001,4.00701379776001,13.228693962097168,9.091975212097168,21.64861488342285,3.4611153602600098,4.08025598526001,3.2736153602600098,10.181818962097168,14.898615837097168,3.1466622352600098
2024-11-01 01:00:00,6.932878017425537,7.362565517425537,2.236588954925537,7.183854579925537,4.417253017425537,13.426041603088379,9.464127540588379,20.586198806762695,3.583268642425537,4.176042079925537,2.956315517425537,10.795182228088379,14.530533790588379,3.134049892425537
2024-11-01 02:00:00,7.425873756408691,7.767670631408691,2.2706000804901123,7.425873756408691,5.004975318908691,13.502045631408691,9.499115943908691,20.048919677734375,3.5918891429901123,4.510834693908691,3.1192328929901123,11.355561256408691,14.509858131408691,3.2627875804901123
2024-11-01 03:00:00,7.786945819854736,8.155110359191895,2.3523757457733154,7.689289569854736,5.412922382354736,13.348469734191895,10.235188484191895,20.077960968017578,3.4070632457733154,5.059406757354736,3.0867507457733154,12.005696296691895,14.493977546691895,3.5213210582733154
2024-11-01 04:00:00,8.058478355407715,8.707892417907715,2.3084781169891357,7.729376792907715,5.977423667907715,13.049689292907715,10.502814292907715,20.8114070892334,3.3934390544891357,5.493048667907715,3.0711734294891357,12.388556480407715,14.531134605407715,3.8758609294891357
2024-11-01 05:00:00,8.450630187988281,9.310981750488281,2.7973098754882812,7.843208312988281,6.398872375488281,12.621528625488281,10.745552062988281,21.45453643798828,3.5092239379882812,5.795356750488281,3.1342239379882812,12.426216125488281,14.434028625488281,3.9115676879882812
2024-11-01 06:00:00,8.833281517028809,9.776640892028809,3.1360161304473877,7.889922618865967,6.931914806365967,12.720000267028809,10.222929954528809,21.447540283203125,3.8059380054473877,6.028594493865967,3.3791801929473877,12.096953392028809,14.309844017028809,3.8518364429473877
2024-11-01 07:00:00,8.869675636291504,10.327683448791504,3.722214937210083,8.815964698791504,7.717332363128662,12.780808448791504,10.409714698791504,20.32280158996582,4.638230800628662,6.894090175628662,3.502488374710083,12.311081886291504,13.970261573791504,3.731980562210083
2024-11-01 08:00:00,8.776816368103027,10.214316368103027,4.132285118103027,7.822714805603027,7.724081993103027,12.586386680603027,10.168417930603027,19.547325134277344,4.708456993103027,6.552206993103027,3.3432226181030273,11.728964805603027,13.858847618103027,4.499472618103027
2024-11-01 09:00:00,9.250298500061035,10.828423500061035,4.676079750061035,8.609673500061035,8.415337562561035,12.496392250061035,11.505181312561035,18.24639129638672,5.274712562561035,6.887017250061035,4.371392250061035,12.797173500061035,13.577446937561035,5.747368812561035
2024-11-01 10:00:00,9.3502836227417,11.6500883102417,6.786807060241699,9.8795804977417,9.8356351852417,12.9127836227417,11.6120023727417,16.350284576416016,6.681338310241699,7.213564872741699,5.622744560241699,13.1403226852417,13.4860258102417,6.519228935241699
2024-11-01 11:00:00,9.175707817077637,11.538012504577637,6.796801567077637,9.916918754577637,9.899340629577637,13.626879692077637,11.357348442077637,16.380786895751953,6.763598442077637,7.257739067077637,5.881762504577637,12.354418754577637,14.410082817077637,6.820239067077637
2024-11-01 12:00:00,9.234672546386719,11.143852233886719,6.376274108886719,9.629203796386719,9.737602233886719,12.596000671386719,10.698539733886719,16.37725067138672,6.626274108886719,7.718070983886719,5.829399108886719,11.265922546386719,13.192680358886719,6.631156921386719
2024-11-01 13:00:00,9.238701820373535,10.677178382873535,6.643975257873535,9.673272132873535,9.337334632873535,11.274834632873535,10.281670570373535,16.52288246154785,6.406670570373535,7.743584632873535,6.661553382873535,10.833428382873535,11.875420570373535,6.702569007873535
2024-11-01 14:00:00,8.993165016174316,10.404297828674316,6.711914539337158,9.499024391174316,9.076172828674316,9.594727516174316,9.856446266174316,16.1689453125,6.451172351837158,7.487305164337158,7.259766101837158,10.128907203674316,10.943360328674316,6.782227039337158
2024-11-01 15:00:00,9.077526092529297,9.620494842529297,6.592174530029297,8.880260467529297,8.546276092529297,8.535533905029297,9.064830780029297,14.996471405029297,6.395885467529297,7.254283905029297,7.281627655029297,9.178112030029297,11.298229217529297,6.720104217529297
2024-11-01 16:00:00,8.714661598205566,8.391419410705566,5.736145496368408,7.522278308868408,7.482239246368408,9.163880348205566,7.789856433868408,13.582825660705566,5.952942371368408,6.839661121368408,6.575989246368408,7.589661121368408,11.285950660705566,6.333801746368408
2024-11-01 17:00:00,7.784784317016602,7.047479629516602,4.070917129516602,5.789667129516602,6.372674942016602,9.323846817016602,6.624628067016602,12.550409317016602,5.457635879516602,5.390253067016602,5.272089004516602,6.182245254516602,10.989862442016602,4.846307754516602
2024-11-01 18:00:00,6.996708393096924,5.748661518096924,3.613895893096924,4.753544330596924,5.357059955596924,8.790653228759766,5.416630268096924,11.543582916259766,5.487919330596924,5.097294330596924,4.605106830596924,4.999638080596924,10.669559478759766,4.297489643096924
2024-11-01 19:00:00,5.968872547149658,5.176880359649658,3.112427234649658,4.707153797149658,5.246216297149658,7.036255359649658,5.094849109649658,10.4630126953125,5.302856922149658,5.803833484649658,5.335083484649658,4.543091297149658,8.8770751953125,4.556763172149658
2024-11-01 20:00:00,5.438451766967773,4.529272079467773,2.1083738803863525,3.6191160678863525,5.240209579467773,5.995092391967773,4.012670516967773,9.648412704467773,5.160131454467773,5.971654891967773,5.430639266967773,4.503881454467773,8.207983016967773,4.805639266967773
2024-11-01 21:00:00,5.328628063201904,3.7729642391204834,1.8794095516204834,3.8130033016204834,4.820815563201904,5.503432750701904,3.5063626766204834,8.495620727539062,5.516128063201904,5.753432750701904,5.221206188201904,4.561049938201904,7.603042125701904,5.121596813201904
2024-11-01 22:00:00,5.360265254974365,3.5585076808929443,2.2069451808929443,4.006749629974365,4.962804317474365,5.717687129974365,2.9872186183929443,7.810460567474365,6.239171504974365,5.284093379974365,5.165929317474365,4.323155879974365,7.153234004974365,5.456944942474365
2024-11-01 23:00:00,4.972076416015625,3.248443365097046,2.857818365097046,4.244537353515625,4.891021728515625,5.872467041015625,3.541412115097046,8.969146728515625,6.789459228515625,5.634185791015625,5.163482666015625,5.113677978515625,7.347076416015625,5.653717041015625
2024-11-02 00:00:00,4.470113754272461,3.826559066772461,3.027730941772461,4.429098129272461,4.610738754272461,6.131246566772461,4.147848129272461,10.400777816772461,7.259176254272461,5.759176254272461,5.444723129272461,5.817770004272461,7.671285629272461,5.870504379272461
2024-11-02 01:00:00,4.834675312042236,4.554401874542236,2.8766674995422363,4.246784687042236,3.7624096870422363,6.252644062042236,4.606159687042236,11.347370147705078,7.269245624542236,6.084675312042236,5.956745624542236,5.952839374542236,7.770222187042236,5.879597187042236
2024-11-02 02:00:00,5.66018533706665,4.85745096206665,2.5263962745666504,3.3242478370666504,2.9951462745666504,6.34573221206665,5.02249002456665,12.343778610229492,6.87795877456665,6.03713846206665,6.39163064956665,5.95022439956665,7.71487283706665,5.69338846206665
2024-11-02 03:00:00,6.505285263061523,4.989660263061523,3.1127071380615234,2.7953243255615234,3.2347774505615234,6.186925888061523,4.892980575561523,12.386144638061523,6.647863388061523,5.536535263061523,6.477941513061523,5.886144638061523,7.567785263061523,5.419347763061523
2024-11-02 04:00:00,7.458564281463623,5.179267406463623,3.437079906463623,3.048408031463623,3.803290843963623,6.098212718963623,4.588447093963623,12.087471008300781,6.889228343963623,5.091376781463623,6.435126781463623,5.467353343963623,7.477118968963623,5.294501781463623
2024-11-02 05:00:00,8.143378257751465,5.456854820251465,3.469550132751465,3.544745445251465,4.014472007751465,6.599432945251465,4.401190757751465,12.993964195251465,7.368964195251465,5.837714195251465,6.419745445251465,5.127753257751465,7.456854820251465,5.480292320251465
2024-11-02 06:00:00,8.559185981750488,5.591412544250488,3.6099672317504883,3.9078187942504883,4.163678169250488,6.896100044250488,4.348248481750488,14.232037544250488,7.905865669250488,6.410748481750488,6.908795356750488,5.064068794250488,7.343365669250488,6.091412544250488
2024-11-02 07:00:00,8.52691650390625,5.52886962890625,3.99761962890625,4.29644775390625,4.42437744140625,8.02691650390625,4.19488525390625,14.32965087890625,7.79644775390625,6.35211181640625,7.69781494140625,4.85797119140625,7.50054931640625,6.89215087890625
2024-11-02 08:00:00,9.204941749572754,5.551621437072754,4.796738624572754,5.191269874572754,5.231308937072754,7.985215187072754,5.177597999572754,14.578965187072754,8.545762062072754,7.183457374572754,8.587754249572754,5.088730812072754,7.408066749572754,7.649277687072754
2024-11-02 09:00:00,9.257190704345703,6.418323516845703,5.515003204345703,8.186878204345703,7.473987579345703,7.483753204345703,6.007190704345703,15.629261016845703,9.473987579345703,9.001331329345703,9.327503204345703,5.729846954345703,8.523792266845703,8.460315704345703
2024-11-02 10:00:00,9.192733764648438,7.102890491485596,6.578476428985596,9.345077514648438,8.659530639648438,7.325546741485596,7.195663928985596,16.263046264648438,10.561874389648438,10.464218139648438,9.764999389648438,6.526718616485596,9.602890014648438,10.795272827148438
2024-11-02 11:00:00,9.442105293273926,7.707730293273926,6.567105293273926,9.413784980773926,8.915738105773926,7.697964668273926,7.556363105773926,16.379606246948242,11.363980293273926,10.514370918273926,10.561245918273926,7.252652168273926,10.323941230773926,11.302456855773926
2024-11-02 12:00:00,9.34351634979248,8.16871166229248,7.9265241622924805,9.34937572479248,9.23121166229248,8.77418041229248,8.20582103729248,16.821056365966797,11.49976634979248,10.23218822479248,10.53296947479248,7.4333600997924805,11.18628978729248,11.42652416229248
2024-11-02 13:00:00,8.89903736114502,7.9400529861450195,7.9576311111450195,8.85118579864502,8.52013111114502,9.52501392364502,8.11681079864502,17.045520782470703,11.22618579864502,9.69688892364502,10.25450611114502,7.1744279861450195,11.42442798614502,11.42638111114502
2024-11-02 14:00:00,8.486385345458984,7.065974712371826,7.345271587371826,7.977107524871826,7.316462993621826,9.464412689208984,8.266170501708984,16.573787689208984,10.480525970458984,8.705135345458984,10.118221282958984,6.877009868621826,11.288143157958984,10.292049407958984
2024-11-02 15:00:00,8.130424499511719,6.7192912101745605,6.8980021476745605,7.0859904289245605,6.4844279289245605,8.593803405761719,8.170463562011719,16.85796356201172,9.857963562011719,8.173393249511719,10.239799499511719,6.8301310539245605,10.825248718261719,10.142631530761719
2024-11-02 16:00:00,7.499794960021973,6.319619178771973,5.687294960021973,6.227334022521973,5.894326210021973,7.282509803771973,7.403115272521973,16.724403381347656,9.557900428771973,7.505654335021973,10.021279335021973,6.442177772521973,9.734658241271973,8.786416053771973
2024-11-02 17:00:00,7.148777961730957,5.922215461730957,5.448582649230957,4.813817024230957,4.452488899230957,6.839695930480957,6.270848274230957,16.43246841430664,9.732274055480957,5.881688117980957,9.528660774230957,5.573582649230957,8.714207649230957,8.588231086730957
2024-11-02 18:00:00,7.325263977050781,5.934638977050781,5.720771789550781,4.075752258300781,3.5982131958007812,6.417549133300781,5.678291320800781,16.15534210205078,10.653388977050781,5.415596008300781,9.436592102050781,5.363838195800781,8.036689758300781,9.303291320800781
2024-11-02 19:00:00,7.074521541595459,5.739560604095459,6.042783260345459,3.613584041595459,4.399716854095459,7.465634822845459,5.325498104095459,17.544248580932617,11.0266695022583,6.039853572845459,9.9143648147583,5.615537166595459,8.3157320022583,9.3152437210083
2024-11-02 20:00:00,7.209859371185303,5.579976558685303,6.185445308685303,3.6942343711853027,4.949117183685303,7.417867183685303,5.454976558685303,17.85829734802246,10.891500473022461,6.376851558685303,9.856344223022461,5.972554683685303,8.749898910522461,9.253805160522461
2024-11-02 21:00:00,7.248591899871826,5.529841899871826,6.407771587371826,3.732966661453247,5.344295024871826,7.362849712371826,5.765193462371826,17.981990814208984,10.524958610534668,6.745662212371826,9.931208610534668,6.093318462371826,8.844294548034668,9.294489860534668
2024-11-02 22:00:00,7.151967525482178,5.761830806732178,6.555776119232178,3.7657370567321777,5.763783931732178,7.609975337982178,5.748158931732178,18.294057846069336,10.454214096069336,7.002065181732178,9.827749252319336,6.045033931732178,8.613882064819336,9.309194564819336
2024-11-02 23:00:00,6.855554103851318,5.774011135101318,6.537194728851318,3.8990111351013184,5.769128322601318,7.635827541351318,5.640222072601318,18.265710830688477,10.43270206451416,7.412194728851318,9.31795597076416,5.491296291351318,8.02156925201416,9.22420597076416
2024-11-03 00:00:00,6.2413506507873535,5.5206475257873535,6.0226006507873535,4.2276787757873535,5.8634209632873535,7.3575615882873535,5.5782647132873535,17.895647048950195,10.091936111450195,7.8946709632873535,9.201311111450195,4.9308037757873535,7.4737725257873535,8.928850173950195
2024-11-03 01:00:00,5.206899642944336,5.314321517944336,5.109243392944336,5.277212142944336,6.518423080444336,6.543813705444336,5.499868392944336,17.314321517944336,9.315298080444336,8.305532455444336,9.196157455444336,4.862173080444336,6.865102767944336,8.467641830444336
2024-11-03 02:00:00,4.8324151039123535,5.2538018226623535,4.3065361976623535,5.6971611976623535,6.4872002601623535,6.1239190101623535,4.9525322914123535,16.692277908325195,8.415911674499512,8.351458549499512,8.945696830749512,4.5663018226623535,6.3568291664123535,7.8529229164123535
2024-11-03 03:00:00,4.443890571594238,5.102093696594238,4.124554634094238,5.545453071594238,5.829632759094238,5.833539009094238,4.693890571594238,16.136274337768555,7.814007759094238,8.173382759094238,8.335492134094238,4.233929634094238,6.240765571594238,7.206585884094238
2024-11-03 04:00:00,4.380433082580566,4.655823707580566,4.212464332580566,4.772034645080566,5.028870582580566,5.801331520080566,4.220276832580566,15.579651832580566,7.737854957580566,7.899964332580566,7.904847145080566,4.091370582580566,6.310120582580566,6.578675270080566
2024-11-03 05:00:00,4.613076210021973,4.691201210021973,4.424599647521973,4.820107460021973,5.186318397521973,5.529091835021973,4.134560585021973,14.884560585021973,8.033974647521973,8.262490272521973,7.903115272521973,4.104287147521973,6.216591835021973,6.578896522521973
2024-11-03 06:00:00,4.9292216300964355,5.1382060050964355,4.4692606925964355,5.3745341300964355,5.6772685050964355,5.0786356925964355,4.6128153800964355,14.176291465759277,8.223166465759277,8.646994590759277,8.223166465759277,4.2387919425964355,5.9526591300964355,7.1108622550964355
2024-11-03 07:00:00,4.738748073577881,5.001443386077881,4.570779323577881,5.647927761077881,6.144021511077881,5.162576198577881,3.763162136077881,14.379372596740723,7.941873073577881,8.936989784240723,8.302224159240723,4.214334011077881,6.885232448577881,7.034646511077881
2024-11-03 08:00:00,5.292987823486328,5.304706573486328,5.049823760986328,6.062519073486328,6.635761260986328,4.221698760986328,3.959980010986328,13.103534698486328,8.375019073486328,8.961933135986328,8.371112823486328,4.088886260986328,5.861347198486328,7.617206573486328
2024-11-03 09:00:00,6.036525726318359,5.506252288818359,5.841213226318359,7.095119476318359,7.141017913818359,4.460353851318359,5.087306976318359,11.97304916381836,8.62929916381836,9.41054916381836,8.71718978881836,4.464260101318359,5.981838226318359,8.14883041381836
2024-11-03 10:00:00,7.279765605926514,6.268046855926514,7.207499980926514,7.710429668426514,7.884257793426514,5.262187480926514,6.043437480926514,11.590312004089355,8.534647941589355,10.853983879089355,10.370585441589355,5.447734355926514,6.378398418426514,9.306132316589355
2024-11-03 11:00:00,7.369895935058594,6.639427185058594,7.197044372558594,7.881614685058594,8.103294372558594,5.242942810058594,6.308372497558594,11.255638122558594,8.399192810058594,10.883567810058594,10.768333435058594,5.757591247558594,6.269309997558594,9.567161560058594
2024-11-03 12:00:00,7.140273094177246,6.516249656677246,6.619765281677246,7.884413719177246,7.858046531677246,5.280898094177246,6.483046531677246,10.822890281677246,8.314101219177246,10.657851219177246,10.862929344177246,5.959609031677246,5.825819969177246,9.346327781677246
2024-11-03 13:00:00,6.960078716278076,6.332149028778076,6.321406841278076,7.408320903778076,7.722774028778076,5.255000591278076,6.460078716278076,10.550898551940918,7.948359966278076,10.047968864440918,10.465937614440918,5.953242778778076,6.251094341278076,9.117304801940918
2024-11-03 14:00:00,6.787664413452148,6.061101913452148,6.006414413452148,6.876531600952148,7.188055038452148,5.154851913452148,6.092351913452148,10.311101913452148,7.551336288452148,9.564031600952148,9.386297225952148,5.815008163452148,6.811101913452148,8.592351913452148
2024-11-03 15:00:00,6.613879203796387,5.681262016296387,5.770129203796387,6.568957328796387,6.102160453796387,4.844347953796387,5.702746391296387,9.692980766296387,7.304308891296387,8.881457328796387,8.916613578796387,5.358019828796387,7.309191703796387,8.137316703796387
2024-11-03 16:00:00,6.111073017120361,5.239979267120361,5.188221454620361,6.134510517120361,5.478260517120361,4.733143329620361,5.149158954620361,8.70189380645752,7.035877704620361,8.21361255645752,8.29857349395752,5.097401142120361,7.638416767120361,7.605213642120361
