date,United_Kingdom_solar_cf,United_Kingdom_wind_cf,United_Kingdom_demand,United_Kingdom_wd_demand,UK_wind_speed,UK_temp,United_Kingdom_wind_gen,United_Kingdom_solar_gen,demand_net_wind,wd_demand_net_wind,demand_net_renewables,wd_demand_net_renewables,demandESO,demandESO_net_wind,demandESO_net_renewables
1940-01-01,0.0161250745833333,0.3449341213284926,46.4200231640343,47.22829320870238,6.961509070541666,-0.688529499,10.217638541992608,0.24836968628470782,36.20238462204169,37.010654666709776,35.95401493575698,36.762284980425065,,,
1940-01-02,0.013856587125,0.2357331444400715,47.95330604419208,47.95330604419208,5.675701251375,-1.658305329,6.982887204603799,0.2134288545102375,40.970418839588284,40.970418839588284,40.75698998507805,40.75698998507805,,,
1940-01-03,0.0936716165416666,0.3862960768928419,47.56823363989299,47.56823363989299,7.631405124458333,-1.143233192,11.442862389719762,1.4427958081063281,36.125371250173224,36.125371250173224,34.6825754420669,34.6825754420669,,,
1940-01-04,0.0946581413333333,0.4682187034092398,46.78743603713306,46.78743603713306,8.341799528458333,-0.09883976,13.869574432388502,1.457990953514933,32.91786160474456,32.91786160474456,31.45987065122963,31.45987065122963,,,
1940-01-05,0.1118284476666666,0.1687098350670823,46.01436766359764,46.91411016792716,5.555250191875,-0.268278844,4.997522734357111,1.7224600308753655,41.01684492924053,41.91658743357005,39.294384898365166,40.19412740269469,,,
1940-01-06,0.1167876081666666,0.3425167994167113,40.63753659845244,44.48144828130448,7.202507101333333,2.985645204,10.146032632321823,1.7988444923087155,30.49150396613062,34.33541564898266,28.692659473821905,32.53657115667394,,,
1940-01-07,0.2166074047499999,0.4257251777958836,37.42057247910464,42.1113884127839,8.015757523916667,6.155832907,12.610831216669665,3.3363388731428234,24.809741262434976,29.500557196114237,21.473402389292154,26.164218322971415,,,
1940-01-08,0.197633964125,0.1347614155367903,42.25675513136335,43.06502517603143,4.659005529416667,4.880250134,3.991902651030802,3.0440966592281375,38.26485248033255,39.07312252500063,35.22075582110441,36.029025865772496,,,
1940-01-09,0.1400567127916666,0.2959021184110554,44.88690773871379,44.88690773871379,6.730459610333334,2.443303382,8.765212551572283,2.157251530116203,36.121695187141505,36.121695187141505,33.9644436570253,33.9644436570253,,,
1940-01-10,0.0647697948458333,0.3451376760082199,46.948638246231255,46.948638246231255,7.48614375775,-0.314463538,10.223668238715488,0.9976297190719164,36.724970007515765,36.724970007515765,35.72734028844385,35.72734028844385,,,
1940-01-11,0.0466694834583333,0.2632286319291915,47.24919658827994,47.24919658827994,6.4812474794999995,-0.716489821,7.79735853500651,0.7188360528636702,39.451838053273434,39.451838053273434,38.73300200040976,38.73300200040976,,,
1940-01-12,0.0186406585,0.2213723420952377,46.48202179823725,47.38176430256677,5.911981287541667,-0.893812151,6.557491517545131,0.28711647067795,39.92453028069212,40.82427278502164,39.637413810014166,40.53715631434369,,,
1940-01-13,0.0327232498333333,0.0781974159563104,43.55902558006457,47.40293726291661,3.8148297551666666,-0.922133063,2.3163638554578267,0.5040264002078828,41.24266172460674,45.08657340745878,40.738635324398864,44.5825470072509,,,
1940-01-14,0.026506728625,0.1212158879087115,42.810784201367,47.50160013504627,4.286610466916667,-1.054104339,3.590657031631852,0.4082751889922875,39.22012716973515,43.91094310341442,38.81185198074286,43.502667914422126,,,
1940-01-15,0.0267949940416666,0.3666122224616421,46.09682090208078,46.905090946748864,7.688175665791667,-0.25621475,10.859787253758762,0.41271525472557813,35.23703364832202,36.0453036929901,34.82431839359644,35.63258843826452,,,
1940-01-16,0.0334342624166666,0.6792858445758116,48.26380421854828,48.26380421854828,10.977758170041668,-2.073627113,20.121805288024692,0.5149779137251906,28.141998930523588,28.141998930523588,27.6270210167984,27.6270210167984,,,
1940-01-17,0.0351152825416666,0.501163270340475,49.42800253649756,49.42800253649756,9.0292660725,-3.630856634,14.84545839402555,0.5408701624045281,34.58254414247201,34.58254414247201,34.04167398006748,34.04167398006748,,,
1940-01-18,0.026941389,0.4002088923657528,48.77973234065348,48.77973234065348,7.902554149541667,-2.763731617,11.85498780965833,0.4149701323503,36.924744530995156,36.924744530995156,36.50977439864485,36.50977439864485,,,
1940-01-19,0.0219309356666666,0.3572517003882913,48.095159751790746,48.99490225612027,7.373587491875,-3.051542499,10.582509868901965,0.3377956227929656,37.51264988288878,38.412392387218304,37.17485426009581,38.07459676442534,,,
1940-01-20,0.024332465875,0.3843587800145469,46.755991627653415,50.599903310505454,7.614193806708333,-5.198388945,11.385475781590907,0.3747856721328625,35.37051584606251,39.21442752891455,34.995730173929644,38.83964185678168,,,
1940-01-21,0.0290977905,0.351290934002169,47.81442170935544,52.505237643034704,6.955515801208333,-7.74696063,10.40594004701225,0.44818453773435,37.40848166234319,42.09929759602245,36.96029712460884,41.651113058288104,,,
1940-01-22,0.0269642007916666,0.2633813031807582,49.21765981914984,50.02592986381792,6.166079000166667,-4.430643123,7.8018809628204195,0.41532149553380315,41.41577885632942,42.2240489009975,41.000457360795615,41.8087274054637,,,
1940-01-23,0.0201629765833333,0.3121998635456292,48.78622338433483,48.78622338433483,7.0347781493333335,-2.772414025,9.247984357948628,0.31056427942010784,39.53823902638621,39.53823902638621,39.227674746966095,39.227674746966095,,,
1940-01-24,0.0189652603749999,0.5233314491814539,46.054694969626496,46.054694969626496,8.88801192575,0.881273339,15.502124187653028,0.29211621597801096,30.55257078197347,30.55257078197347,30.26045456599546,30.26045456599546,,,
1940-01-25,0.0151940195416666,0.3725839971821568,46.50776781186456,46.50776781186456,7.614112836291667,0.275243941,11.036683164529848,0.23402892479442813,35.47108464733471,35.47108464733471,35.23705572254028,35.23705572254028,,,
1940-01-26,0.0094360469583333,0.6443989038927548,44.28679195141551,45.18653445574503,10.443368281583334,2.042523239,19.088384331111182,0.14534060048512032,25.198407620304327,26.09815012463385,25.053067019819206,25.95280952414873,,,
1940-01-27,0.010577997875,0.7353534255467257,41.39586817578504,45.23977985863708,11.344350854583332,1.971302286,21.782639171545107,0.1629297278692625,19.613229004239933,23.45714068709197,19.45029927637067,23.29421095922271,,,
