time,T2m,full_demand,wd_demand,solar_PV,ssrd,hh_ws,wp_gen
2024-05-24 09:00:00,12.098146984064691,40.80023074027201,40.80023074027201,0.17974434221320063,189.89982998571662,3.9127371377516544,0.06743775192223277
2024-05-24 10:00:00,12.561385794666325,40.81627912736879,40.81627912736879,0.201127396196684,212.720946980414,3.7184595786593575,0.056078791743237946
2024-05-24 11:00:00,12.94124944098642,40.62494809818292,40.62494809818292,0.22902576984646164,242.55325424336942,3.7206274117913485,0.059142174801321494
2024-05-24 12:00:00,13.302355785904643,40.67871576331349,40.67871576331349,0.2412641772599978,255.8309620224427,3.70737103831891,0.0568344484736407
2024-05-24 13:00:00,13.693569917767961,40.566536423835764,40.566536423835764,0.26515848931865155,281.60847330539025,3.8363970116571995,0.0554983327550696
2024-05-24 14:00:00,13.905498126734082,40.464129357783534,40.464129357783534,0.23686610384382933,251.78832841677087,4.068930166337367,0.05778709485192819
2024-05-24 15:00:00,14.046035053574036,41.02327490309844,41.02327490309844,0.2207917130439081,234.84507548965027,4.229657814651868,0.06459827909941541
2024-05-24 16:00:00,13.979687671126607,42.90365777560228,42.90365777560228,0.1997228121646097,212.2655367414528,4.357089612825938,0.07424117162736568
2024-05-24 17:00:00,13.790580906377775,44.91050723796787,44.91050723796787,0.15827351997249595,168.1303592503628,4.118299621678999,0.0682038215378224
2024-05-24 18:00:00,13.534916387540157,45.04071461123975,45.04071461123975,0.11382616731886552,120.77680581351306,3.770410588986745,0.05575242520379339
2024-05-24 19:00:00,13.031221878194364,43.7192841196883,43.7192841196883,0.06374056805099282,67.45683070387796,3.5193017817324694,0.04896492725760316
2024-05-24 20:00:00,12.292881304304176,41.595012230287374,41.595012230287374,0.025535281093042587,26.929312593691815,3.5930357433214675,0.05475321448442837
2024-05-24 21:00:00,11.57715956072941,39.1372772072459,39.1372772072459,0.0019230280414486965,2.023576329453526,3.8229004316459543,0.07489162887719293
2024-05-24 22:00:00,10.875054018965391,36.246193489887986,36.246193489887986,9.53392019044471e-19,9.999996859901385e-16,4.185471383804727,0.0942202435952575
2024-05-24 23:00:00,10.495129223404644,33.36136361277585,33.36136361277585,9.548281323370183e-19,9.999996859901385e-16,4.257326565495212,0.09619838218512097
